Автор,Название статьи,Категория,Уровень сложности,Время на прочтение (ч.),Количество просмотров (тыс.),Рейтинг,Добавить в закладки,Комментарии
phanerostroi_evidence,Взлет Lies of P или Почему так популярны соулслайки? Часть 1. В ожидании Dark Souls 5,Обзор,Средний,0.28,1.5,+16,"
    7
  ",11
SantrY,Взламываем транспортные карты: чит на бесконечные деньги,,Средний,0.13,8.6,+42,"
    31
  ",19
mr-pickles,Исследование режима Copy-on-Write в pandas. Часть 2,Перевод,Средний,0.1,0.425,+11,"
    3
  ",0
MaFrance351,Как заставить работать пейджер,Туториал,Средний,0.4,1.6,+19,"
    9
  ",4
gagarinten,Формат описания Компонентов и Префабов (Entity) для ECS. Часть 1. Спецификация,Из песочницы,Простой,0.05,0.273,+1,"
    5
  ",1
vldmrmlkv,Как улучшить тестируемость кода на примере внедрения зависимостей в Python,Перевод,Средний,0.12,1.0,+3,"
    18
  ",0
rvnikita,Digital-мероприятия в Санкт-Петербурге c 7 по 12 ноября,Дайджест,,0.02,0.225,0,"
    1
  ",0
rvnikita,Digital-мероприятия в Москве c 7 по 12 ноября,Дайджест,,0.02,0.261,0,"
    0
  ",0
AlexeyGerasimov,Задача повышенной сложности: AV для ситуационных центров,,,0.18,0.348,+14,"
    11
  ",2
vasilisa_b,"Pix — бразильская система платежей, о которой поют горячие мачо",,,0.17,1.9,+13,"
    5
  ",5
Dmitrii43,Умный мясокомбинат: что можно сделать с инженерными системами?,,Простой,0.12,1.3,+12,"
    9
  ",9
ArchitectSimbirSoft,"Как перейти на микросервисы и выполнить миссию: решения на старте, работа с ТЗ и подводные камни",Ретроспектива,Средний,0.32,0.723,0,"
    8
  ",2
Dad0va,Xg предсказывает результаты матчей?,Из песочницы,Простой,0.1,0.665,0,"
    10
  ",2
SSP_blog,25 вопросов и ответов по терминам REST API на собеседовании по вакансии системного аналитика,Туториал,Средний,0.18,2.3,0,"
    32
  ",7
Jlyu,"Анонсы конференции OpenAI Dev Day: быстрее, дешевле, умнее",,,0.12,0.95,+11,"
    6
  ",1
dprotopopov,Изучаем Q#. Обучаем перцептрон,Туториал,Средний,0.27,1.5,+2,"
    19
  ",15
ProductivityInside,Мобильная разработка за неделю #513 (30 октября — 6 ноября),Дайджест,,0.08,0.806,+1,"
    2
  ",0
askoropad,Невероятно гибкие и переиспользуемые UI контролы для Angular,Туториал,Простой,0.15,1.7,+3,"
    17
  ",0
ap_security,Фаззинг с AFL++. Знакомство,Перевод,Простой,0.15,0.992,+1,"
    19
  ",1
Asya_Dyu,Ландшафт разработки,Перевод,Простой,0.17,1.5,-1,"
    14
  ",0
OlegSivchenko,"Ещё раз об экзоконтинентах, тектонике плит и зарождении жизни",,,0.17,2.6,+24,"
    12
  ",6
aposnov,Хорошо ли жить в Испании на 5.000€ в месяц? (или 500 000 руб.),Recovery Mode,Простой,0.03,10.0,-14,"
    8
  ",126
sdy,Переделка мини компьютера в мобильный NAS,Туториал,Средний,0.15,16.0,+30,"
    60
  ",23
netkeep,Жизнь самоподобной системы как вечное познание субъектом своего бесконечно сложного объективного прошлого,Мнение,Средний,0.37,1.5,-2,"
    12
  ",9
Suvitruf,"Недельный геймдев: #146 — 5 ноября, 2023",Дайджест,Простой,0.07,1.4,+9,"
    5
  ",2
zheldak,Как мы запустили телеграм-радио,Кейс,,0.03,2.9,+10,"
    24
  ",11
AKlimenkov,«Кто на ком стоял?» Про страдательный залог в технической документации,,,0.08,6.6,+67,"
    45
  ",26
Zachar_5,Общаемся с базой знаний: как мы улучшили точность генеративных ответов LLM с помощью собственного RAG,Кейс,Простой,0.12,1.2,+4,"
    18
  ",2
Skill_Vortex,Как удобно хранить всю информацию по SMM проектам с помощью Obsidian?,Recovery Mode,Простой,0.08,2.4,+2,"
    37
  ",5
ru_vds,Как устроено автоматическое удаление мёртвого кода в Meta*,Перевод,Средний,0.12,6.1,+29,"
    24
  ",2
Helldar,Чудо китайской промышленности YEELIGHT Lightstrip Pro и как я её подключал к Razer Synapse 3,Туториал,Простой,0.08,4.4,+1,"
    6
  ",8
Lexus08,Что внутри мощного мини-компьютера Mini IT13? Разборка нового неттопа от Geekom на базе процессора Intel 13th Gen,Обзор,Средний,0.08,5.5,+9,"
    16
  ",19
RyabovA,"I2C датчик INA219 + Python + Repka Pi: измеряем ток, напряжение и мощность во встраиваемых системах управления",Туториал,Средний,0.52,3.3,+13,"
    41
  ",10
gregyku,Краткая история лития: от открытия до промышленного производства,Аналитика,Средний,0.28,4.1,+11,"
    24
  ",3
ranquild,Использование Content-Security-Policy вместе с React & Emotion,Перевод,Средний,0.05,0.656,0,"
    13
  ",0
PatientZero,Почему Cities: Skylines 2 так тормозит (часть 1),Перевод,Средний,0.2,13.0,+23,"
    19
  ",19
aionin,Вышел релиз GitLab 16.5 с отчётами о соответствии требованиям и правилами задания целевой ветки мерж-реквестов,Перевод,Средний,0.2,2.5,+4,"
    5
  ",0
maxfarseer,Как frontend-специалисту повысить зарплату,Мнение,Простой,0.13,4.8,+1,"
    19
  ",17
AvramovMax,Топ-10 блоков питания в 2023 году: от бюджетных и компактных до дорогих и мощных,Обзор,Простой,0.23,5.6,+8,"
    41
  ",11
VASExperts,Тренд на общественный широкополосный интернет набирает обороты на западе — разбираем ситуацию,Аналитика,,0.08,9.0,+7,"
    14
  ",4
TomHunter,Самые громкие события инфобеза за октябрь 2023 года,,,0.1,1.7,0,"
    3
  ",1
em1nx,Мутации в микросервисах: применяем Temporal,Кейс,Средний,0.17,2.8,+11,"
    32
  ",13
alizar,Взлом YouTube для быстрого скачивания видео,,,0.15,31.0,+115,"
    226
  ",200
SLY_G,Врачи выступают за усиление надзора за использованием ИИ в медицине,Перевод,,0.15,1.0,+1,"
    7
  ",2
Lozkins,Моделирование размещения хабов в pyomo,Туториал,Средний,0.18,0.698,+4,"
    9
  ",5
BekhanCode,Ад Рендера 2.0. Книга вторая. Пайплайн,Перевод,Простой,0.37,2.1,+6,"
    24
  ",1
OldfagGamer,Во что поиграть? — Heroes of Might and Magic IV,Ретроспектива,Простой,0.17,9.6,+30,"
    18
  ",44
AlexanderByndyu,Бизнес-гибкость через микросервисы,,,0.1,3.3,+2,"
    36
  ",34
belokobylskiy,LYWSD03MMC: ZigBee сеть на термометрах,,Средний,0.08,8.1,+25,"
    41
  ",11
it_union,Геймдев в России: Реальность и Перспективы,Мнение,Простой,0.17,8.4,+8,"
    16
  ",18
RationalAnswer,"Аяза Шабутдинова задержали за недостаточно успешный успех, а СПБ Биржа накрылась санкциями",Дайджест,,0.12,50.0,+27,"
    10
  ",172
Seleditor,Процессор Itanium и архитектура IA-64 окончательно забыты: в ядре Linux 6.7 их код удаляют. Что пошло не так с Itanium?,,,0.08,15.0,+44,"
    22
  ",25
Endrey_cot,7 шагов к результату эффективного обучения,,Простой,0.27,9.9,-5,"
    106
  ",12
ap_security,История одного наследства: как я с помощью OSINT и социальной инженерии заскамил скамера,Перевод,Простой,0.2,14.0,+36,"
    106
  ",13
Rider_GT,Новый китайский аналоговый процессор в 3000 раз быстрее GPU A100 от Nvidia. Что это за чип и для чего он нужен?,,,0.05,39.0,+47,"
    44
  ",73
SergiiDia,Нужны ли кому E-ядра?,Мнение,Простой,0.07,28.0,+9,"
    22
  ",122
Ekamelev,Как я пять лет назад начал выходить на новый уровень дохода и как у меня это до сих пор не получилось,,,0.05,35.0,+60,"
    70
  ",70
grishkaa,Пишем минимальный ActivityPub-сервер с нуля,Туториал,,0.2,3.5,+31,"
    42
  ",14
Dragonek,Какие неочевидные темы вспомнить перед собеседованием на Frontend разработчика,Мнение,,0.07,13.0,+13,"
    162
  ",18
BabayMazay,"Домашняя стеклодувная мастерская. Первые инструменты, приёмы работы с ними",Обзор,Средний,0.12,7.2,+82,"
    45
  ",58
alexwortega,Hidden Gem — LLava 1.5,Обзор,Средний,0.02,2.4,+3,"
    12
  ",1
xortator,Поговорим об оптимизирующих компиляторах. Сказ седьмой: борьба с проверками диапазонов,,Средний,0.17,4.1,+30,"
    44
  ",13
aabzel,Полезные Заготовки Вызова Утилит Командной Строки,Туториал,Простой,0.05,9.5,-19,"
    55
  ",25
Ringenium,«Умная» батарейка,,,0.08,7.9,+23,"
    42
  ",16
cless75,Критика и два вида душности: Душилы и душнилы,Мнение,Средний,0.07,3.8,+3,"
    26
  ",45
MGalaktionov,Цикл постов про Keycloak. Часть вторая: Контроль доступа на уровне приложения,Туториал,Простой,0.03,3.0,+4,"
    52
  ",11
iMonin,Гравитационная система отопления частного дома. Естественная тяга в инженерных сетях высотных зданий,,,0.32,12.0,+33,"
    68
  ",75
dionisdimetor,Манифест технооптимиста Марка Андриссена,Перевод,,0.35,2.1,+3,"
    17
  ",34
Bright_Translate,Молодые математики открывают новую главу в изучении простых чисел,Перевод,Простой,0.18,25.0,+57,"
    68
  ",36
divolko3,Windows CE всё: поддержка прекращена Microsoft. Как всё начиналось и как закончилось,,,0.07,7.7,+23,"
    14
  ",44
Indemsys,Автоматическое определение таблицы коммутации BLDC мотора,,,0.1,3.7,+24,"
    41
  ",2
SLY_G,В старых данных «Кеплера» нашли звезду с семью планетами,Перевод,Простой,0.05,2.3,+10,"
    8
  ",1
BA_Mentor,Термины-хамелеоны,Из песочницы,Простой,0.05,1.5,+6,"
    5
  ",2
smart_alex,8 профилировщиков потребляемой мощности для embedded и IoT систем,Перевод,Простой,0.12,3.2,+26,"
    29
  ",13
WeiDai,Milk Sad уязвимость в библиотеке Libbitcoin Explorer 3.x. Крупная кража на $ 900 000 у пользователей Биткоин Кошельков,Из песочницы,,0.18,3.1,+7,"
    15
  ",12
BabayMazay,Самодельные радиолампы в домашней мастерской. Манифест,Мнение,,0.07,14.0,+55,"
    31
  ",86
Evgeny_E,Автономный программатор SWD,,Сложный,0.22,6.0,+27,"
    63
  ",20
Seleditor,Мини-ПК в ноябре 2023 года: 5 моделей на все (почти) случаи жизни,,,0.08,18.0,+22,"
    28
  ",27
AlexeyP0708,Sucker (присоска) — PHP компонент для теста приватных методов и свойств,Обзор,Средний,0.08,1.9,0,"
    4
  ",25
gago777,80% руководителей в США сожалеют о решении вернуть сотрудников в офисы,Перевод,Простой,0.03,44.0,+41,"
    34
  ",103
osieman,"На пути из Web к Native, часть 1",Из песочницы,Средний,0.07,7.2,+14,"
    38
  ",8
sabinaerikovna,Mimesis: идеальное решение для генерации данных,Из песочницы,Простой,0.1,3.2,+20,"
    61
  ",2
SergeyAbA,Разбор задачи A отборочного этапа Yandex Cup 2023 — iOS,Из песочницы,Средний,0.05,1.8,+3,"
    9
  ",1
aabzel,Синтаксический разбор CSV строчек,Туториал,Простой,0.15,2.7,-6,"
    21
  ",119
primetalk,Квитанции как способ отражения сделанной работы на уровне типов,Мнение,Средний,0.08,1.3,+2,"
    7
  ",9
GoogleTan,Белоснежно чистый код,Аналитика,Простой,0.05,12.0,+3,"
    26
  ",34
document_moscow,Написание Частного технического задания (ЧТЗ),Обзор,Средний,0.1,2.0,-4,"
    24
  ",13
Vialeo,Flutter VS React Native,Перевод,Простой,0.08,7.8,-17,"
    17
  ",10
roman_deev,Новости из мира OpenStreetMap за октябрь,Дайджест,,0.08,0.783,+10,"
    2
  ",0
conelov,QCustomPlot + FetchContent,Из песочницы,Простой,0.03,2.0,+7,"
    15
  ",5
guhbap,Реверс мобильных приложений на cocos2dx,Из песочницы,Простой,0.03,1.5,+12,"
    29
  ",3
ArturMkrtychan,"Чем смешнее, тем умнее! О пользе юмора в процессе обучения",Мнение,Простой,0.1,2.2,+7,"
    23
  ",2
jegius,"Разговоры о Курсах, годнота или нет?",Из песочницы,Простой,0.13,20.0,-4,"
    23
  ",57
badcasedaily1,Архитектуры RL: DDPG иPPO,Обзор,Средний,0.2,1.0,+6,"
    20
  ",1
tarlakovsky,Во второй раз — повезет?,Перевод,Простой,0.05,12.0,+24,"
    5
  ",14
MaxRokatansky,Ускоряем запуск Spring Boot-приложений в контейнере,Перевод,,0.13,6.1,-1,"
    36
  ",1
bratchikov,12 GitHub записок,Мнение,,0.07,3.6,+5,"
    18
  ",2
akurilov,Публикация в Awakari из произвольных источников,Кейс,Простой,0.03,0.291,0,"
    3
  ",0
feodosia_mia,От идеи до реализации: создание игры с помощью нейросетей,Перевод,,0.05,18.0,+32,"
    85
  ",14
Exlt8,"Постоянная тонкой структуры, магия чисел и потенциал Леннарда-Джонса",Обзор,Средний,0.05,6.7,+12,"
    21
  ",43
MarkoffIN,"Road Run, или как я свою первую игру делал. Часть 2",Кейс,Простой,0.22,1.5,+2,"
    8
  ",0
fonkost,Что такое класс типов?,Мнение,Простой,0.05,5.6,+2,"
    20
  ",12
splincodewd,Что такое деление по модулю в JavaScript?,Перевод,Простой,0.17,3.6,-4,"
    11
  ",14
SLY_G,У крыс обнаружили пространственное воображение,Перевод,,0.07,1.8,+11,"
    7
  ",6
Andrevich,Устанавливаем и настраиваем прокси-сервер Marzban,Туториал,Простой,0.1,5.7,+14,"
    53
  ",9
Erwinmal,"Сарказм, ежи и неформалы: какими были первые российские веб-комиксы? Часть 1",Ретроспектива,Простой,0.17,6.0,+43,"
    28
  ",8
condor-bird,"А был ли баг? Может бага и не было? Зачем, как и чем тестировать PHP код",Обзор,Средний,0.32,2.7,+3,"
    22
  ",0
divolko3,Microsoft собирается запретить «неавторизованные» аксессуары для Xbox: благие намерения или протекционизм?,,,0.07,2.5,+19,"
    3
  ",12
GeorgeTudosi,Что под капотом у цифрового фото и видео: субдискретизация,Из песочницы,Средний,0.12,4.3,+31,"
    44
  ",45
GeeksCat,История создания Metal Gear Solid,Ретроспектива,Простой,0.13,2.8,+30,"
    17
  ",6
dalerank,Не Unity единым…,,Простой,0.25,20.0,+82,"
    178
  ",76
comerc,Проблемы функции Golang init,Перевод,Простой,0.05,3.3,+16,"
    23
  ",4
roman_logo,Исследование: 9 главных трендов в корпоративном мерче,,,0.08,2.3,+9,"
    13
  ",2
mvideo,Большая сила и большая ответственность. Все игры о Человеке-пауке,Обзор,Простой,0.22,1.3,+8,"
    9
  ",1
timonin,"Создание анимированных видео в нейросети Stable Diffusion, пошаговое руководство",Туториал,Средний,0.12,13.0,+32,"
    117
  ",26
OfficeTramp,"Комфортные условия труда как должное, или о чем не думают работодатели",Из песочницы,,0.07,11.0,+20,"
    32
  ",45
mvideo,Прогнозирование временных рядов с помощью библиотеки Skforecast,Кейс,Средний,0.12,3.3,+16,"
    67
  ",3
phillennium,Что о видеотехнологиях расскажут на VideoTech 2023,,,0.23,0.657,+5,"
    5
  ",0
nicher,Измерение частоты на STM32,Туториал,Простой,0.15,7.3,+34,"
    69
  ",16
Margaret-Writter,Перезагрузка жизни с бизнесом: история Валерии Зименковой,Из песочницы,,0.13,1.8,-16,"
    7
  ",11
sokolovps,Чтение на выходные: «Fallout. Хроники создания легендарной саги» Эрвана Лафлериэля,Обзор,Простой,0.03,2.4,+1,"
    13
  ",3
IrinaSaribekova,Как прокачать профессиональную репутацию без публичных выступлений,Туториал,Простой,0.08,4.5,+7,"
    48
  ",13
neoflex,Как расширить компетенции аналитиков при работе с Big Data,Мнение,Средний,0.08,3.1,+1,"
    23
  ",0
CuriV,Yggdrasil-mesh глазами пентестера,Кейс,Средний,0.1,4.6,+20,"
    30
  ",13
Andrey_Biryukov,Истории из жизни вредоносов: знакомимся с Remnux,,,0.1,1.5,+5,"
    21
  ",0
divolko3,Нейросети в качестве художника: всё лучше и лучше. Подборка инструментов для создания изображений,,,0.05,8.0,+17,"
    62
  ",7
Bright_Translate,Почему я не буду использовать Next.js,Перевод,Средний,0.22,18.0,+36,"
    50
  ",17
StasyTomas,Проблема вагонетки: в какую сторону переключишь стрелку именно ты?,Из песочницы,Простой,0.2,4.3,+3,"
    18
  ",101
USSCLTD,"Фаззинг на пальцах. Часть 1: идея, техника и мера",Туториал,,0.12,1.7,-1,"
    16
  ",1
madbrains,Padding vs SizedBox. Что выбрать для вёрстки отступов Column и Row,Обзор,Средний,0.08,2.8,+6,"
    18
  ",5
Sh3f,Что не так с интерфейсами чат-ботов,,,0.12,4.6,+2,"
    27
  ",14
ispmanager,Программист с детства: интервью с разработчиком,Интервью,Простой,0.12,5.5,+11,"
    20
  ",26
ph_piter,Регулярные выражения — это не трудно,Перевод,,0.1,16.0,+9,"
    131
  ",20
Sber,Разработка рекомендательных систем: три открытых библиотеки от Сбера,Обзор,Простой,0.07,2.1,+10,"
    43
  ",3
solonkov,Рекомендации для входа в ИТ,Кейс,Простой,0.1,10.0,-16,"
    29
  ",17
MAKO_digital,"Как увеличить конверсию сайта в 2 раза, не платить Яндексу за нецелевые лиды и продать на 50% больше без роста бюджета",Кейс,Простой,0.1,4.2,+4,"
    22
  ",1
rumin_v_rabote,Как мы открыли сеть квестов и за 8 лет бизнес не испортил дружбу,,Простой,0.1,1.9,+16,"
    7
  ",2
erbanovanastasia,Как хранить данные в облаке? Краткий экскурс по технологиям,,,0.13,4.6,+19,"
    46
  ",12
kisluhin_sergey,Автоматизация выявления вредоноса в реестре Windows,Из песочницы,Средний,0.47,6.4,+16,"
    56
  ",1
Denis_Chernobaev,О самой полезной встрече с инвестором,Мнение,Простой,0.05,2.0,0,"
    8
  ",16
MaxRokatansky,Что GCC делает для усиления защиты ядра?,Перевод,,0.1,4.1,+7,"
    25
  ",5
habr_career,Сколько тратят в IT: сеньор бэкендер,,Простой,0.08,34.0,+8,"
    29
  ",83
yadro_team,"Митап по С++ в Москве и онлайн: боли нового стандарта, висячие ссылки и дискуссия о собеседованиях",,,0.03,2.2,+14,"
    10
  ",0
nikki_len,Отремонтировали в MySQL 8.2,Из песочницы,,0.18,2.6,-1,"
    8
  ",2
ko_ya,Как обстоят дела с космическими телескопами: анализ российских патентов,Аналитика,Простой,0.12,1.4,+7,"
    12
  ",1
ewolf,Мультиплатформенные образы: что это такое и зачем они нужны,,,0.12,3.7,+8,"
    34
  ",2
shiru8bit,"Музыкальные редакторы на портативках: LSDj, LGPT и EBT",Обзор,Простой,0.47,2.6,+57,"
    27
  ",10
dasafyev,Руководство по развертыванию и управлению Linux-сервером без bash и sh с помощью ispmanager,Туториал,Простой,0.13,5.9,+6,"
    36
  ",7
java_prog,Квантовые компьютеры. С точки зрения традиционного программиста-математика. Часть 7 — Заключительная,,Средний,0.18,5.6,+13,"
    40
  ",7
Zhbert,Организация стенда локальной разработки для самых маленьких с автоматической пересборкой приложения (фронтенд + бэкенд),Туториал,Простой,0.42,5.4,+30,"
    72
  ",0
bITb2112,Как я стал iOS разработчиком,Из песочницы,Простой,0.15,4.3,+4,"
    27
  ",19
MiraclePtr,Вас сдаст Гитхаб: деанонимизация пользователей SSH-серверов,Перевод,Простой,0.08,32.0,+66,"
    99
  ",129
comerc,Реализация Graceful Shutdown в Go,Перевод,,0.28,2.4,+5,"
    40
  ",1
itsalivestudio,Создаем дизайн в любом стиле без промта с помощью IP-Adapter,,,0.08,2.3,+9,"
    27
  ",1
dlinyj,Простая гравировка для дома: электрический карандаш,Туториал,Простой,0.08,15.0,+85,"
    55
  ",51
Dmytro_Kikot,Беспроводная магнитоионика: превращение немагнитного в магнитное без проводов,,,0.25,1.8,+18,"
    15
  ",0
BiktorSergeev,"Это «Интерстеллар», детка: робот TARS, рабочая реплика МКС и другие проекты на Raspberry Pi",,,0.07,3.2,+10,"
    18
  ",0
ivansychev,Через тернии к SLA: как техподдержке быстрее закрывать заявки сотрудников,,,0.12,2.0,+16,"
    11
  ",10
torus1st,Иерархическая база данных,Из песочницы,Средний,0.17,4.5,+4,"
    37
  ",24
shai_hulud,Дизайним абилки как в X-COM,Туториал,,0.25,2.2,+2,"
    19
  ",3
motaev,Интеллектуальный труд,Recovery Mode,,0.05,0.605,-6,"
    5
  ",4
iakimov,Сравнение HTTP-библиотек,Перевод,Средний,0.22,3.3,+5,"
    30
  ",6
German_D,Статистика QA вакансий и резюме. Октябрь 2023,Аналитика,Простой,0.05,7.9,+1,"
    6
  ",5
ira-k,5 книг для начинающего разработчика 1С,Дайджест,Простой,0.03,6.5,+4,"
    36
  ",7
jj_swp,Как стилизовать текст на Compose через Spannable,Туториал,Средний,0.07,0.509,+1,"
    6
  ",1
hdbdbeben,Redux-toolkit и переиспользование кода,Из песочницы,Средний,0.1,2.9,0,"
    26
  ",5
olegchir,Эта неделя в мире Java (3 ноября),Дайджест,Простой,0.08,5.3,+15,"
    22
  ",2
tfkfan,"Разработка браузерных игр с использованием Phaser3, React, Typescript",Из песочницы,Средний,0.25,9.0,+22,"
    86
  ",7
hard_sign,"Обращение к издательствам: пожалуйста, ПЕРЕВОДИТЕ термины",Мнение,Простой,0.03,20.0,+55,"
    39
  ",319
Parfois,Как уменьшить галлюцинации ChatGPT: 6 способов,Туториал,Простой,0.08,4.1,+2,"
    25
  ",5
rpiontik,Архитектор 2.0,,Сложный,0.25,10.0,+10,"
    80
  ",22
ap_security,Устройство кучи для прожженных самоваров. Часть 1,,Простой,0.05,2.8,+1,"
    31
  ",3
MaxRokatansky,Доклад Алексея Старовойтова на Linux Security Summit Europe 2023: BPF и безопасность,Перевод,,0.18,2.2,+10,"
    13
  ",0
AngaraSecurity,"Будь что будет, или как я получила сертификат GCFA",Мнение,Простой,0.12,2.4,+1,"
    23
  ",3
MTorn,"Безопасная разработка, управление рисками и внутренний контроль",Мнение,Сложный,0.83,1.6,-1,"
    16
  ",4
Dorlas,Почтовый сервер на Debian / ALT / Astra / RedOS — опыт портирования Ansible Playbook,Туториал,Средний,0.08,6.1,+4,"
    48
  ",30
AntoineLarine,.NET 7 против российской криптографии. Часть 2. Штампы времени,Туториал,Средний,0.1,6.7,+6,"
    37
  ",5
beeline_cloud,"Стоит ли разработчику идти на завод, как запустить стартап, но вовремя остановиться и другие истории реальных айтишников",,,0.03,5.2,+5,"
    26
  ",18
ahmoleg,Два frontend фреймворка. Два подхода,Из песочницы,Средний,0.27,6.8,-5,"
    10
  ",9
badcasedaily1,concurrent.futures в Python,Обзор,Простой,0.18,4.3,+10,"
    61
  ",3
PressXToWin,Gryffine — история одного пет-проекта,Из песочницы,,0.2,7.9,+25,"
    63
  ",9
AlexAproner,Ещё раз про алгоритм сжатия Хаффмана,Туториал,Сложный,0.35,8.5,+36,"
    136
  ",12
Firemoon,"«Клиентов нужно не искать, а создавать»: погружение в Telegram API через TDLib",Обзор,,0.15,4.6,+36,"
    40
  ",9
krakotay,"Как не программист, вероятно, написал самую быструю библиотеку в мире",Из песочницы,,0.05,100.0,-45,"
    50
  ",150
rikki_tikki,Управляемое данными тестирование с использованием Cucumber,Перевод,,0.07,1.5,+6,"
    18
  ",3
Hawkeye889,"Парадокс видеоигрового «Вархаммера», или Почему стоит уважать Games Workshop",Обзор,Простой,0.18,12.0,+39,"
    24
  ",32
Rosatom,Предсказываем цены с помощью методов анализа данных и машинного обучения,Кейс,Средний,0.17,6.1,+4,"
    65
  ",11
HotMilkTicTac,"Как я писала программу на C#, которая шифрует текст по принципу «Квадрат Полибия»",Из песочницы,Средний,0.08,5.4,-8,"
    20
  ",40
Cloud4Y,Как шоколадный пудинг помог создать космическую антенну,Перевод,Простой,0.07,2.5,+8,"
    10
  ",14
romanpnn0,Как поддерживать себя в кибербезопасной форме: инструкция по самообразованию в IT на примере ИБ,Туториал,Простой,0.1,12.0,+16,"
    66
  ",10
Tzimie,О чем нам намекают естественные системы физических единиц,,Средний,0.1,38.0,+100,"
    108
  ",197
5kull_h4ck3r,Обратный отсчёт пошёл: последний шанс поучаствовать во взломе века,,,0.02,4.9,+26,"
    9
  ",14
